result,table,_start,_stop,_time,_measurement,building,floor,measuring,unit_id,current_a,current_b,current_c,hz_t,kw_a,kw_b,kw_c,kwh_t,pf_a,pf_b,pf_c,voltage_a,voltage_b,voltage_c
_result,0,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 09:45:00+00:00,power_meter,2,1,ahu1,WT0301_E_38,0.27,0.0,0.0,50.019999999999996,0.055,0.0,0.0,299.635,0.99,0.0,0.0,228.74,227.54500000000002,229.915
_result,0,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:00:00+00:00,power_meter,2,1,ahu1,WT0301_E_38,0.26,0.0,0.0,50.02,0.05,0.0,0.0,299.645,0.99,0.0,0.0,228.43,227.30499999999998,229.59
_result,0,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:15:00+00:00,power_meter,2,1,ahu1,WT0301_E_38,0.26,0.0,0.0,50.05,0.05,0.0,0.0,299.66,0.99,0.0,0.0,228.6,227.51,229.72
_result,1,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 09:45:00+00:00,power_meter,2,1,watertreatment,WT0301_E_45,3.92,0.95,0.63,50.01,0.73,0.18,0.13,1089.91,0.84,0.88,0.91,229.06,227.93,230.26
_result,1,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:00:00+00:00,power_meter,2,1,watertreatment,WT0301_E_45,3.91,0.8666666666666667,0.0,50.02333333333333,0.73,0.14666666666666667,0.0,1090.0333333333333,0.84,0.7933333333333333,0.0,228.48333333333335,227.41333333333333,229.75666666666666
_result,1,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:15:00+00:00,power_meter,2,1,watertreatment,WT0301_E_45,3.895,0.875,0.0,50.05,0.73,0.15,0.0,1090.18,0.84,0.785,0.0,228.205,227.185,229.54
_result,2,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 09:45:00+00:00,power_meter,2,2,ahu2,WT0301_E_39,0.0,0.0,0.0,50.010000000000005,0.0,0.0,0.0,211.57,0.0,0.0,0.0,228.625,227.515,229.91
_result,2,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:00:00+00:00,power_meter,2,2,ahu2,WT0301_E_39,0.0,0.0,0.0,50.0425,0.0,0.0,0.0,211.57,0.0,0.0,0.0,228.4525,227.42499999999998,229.66250000000002
_result,2,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:15:00+00:00,power_meter,2,2,ahu2,WT0301_E_39,0.0,0.0,0.0,50.04,0.0,0.0,0.0,211.57,0.0,0.0,0.0,228.49,227.39,229.71
_result,3,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 09:45:00+00:00,power_meter,2,3,ahu3,WT0301_E_40,0.15,0.0,0.0,50.05,0.02,0.0,0.0,338.75,0.99,0.0,0.0,229.05,227.84,230.12
_result,3,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:00:00+00:00,power_meter,2,3,ahu3,WT0301_E_40,0.15,0.0,0.0,50.04333333333333,0.02,0.0,0.0,338.75,0.9899999999999999,0.0,0.0,228.60666666666665,227.48666666666668,229.71333333333334
_result,3,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:15:00+00:00,power_meter,2,3,ahu3,WT0301_E_40,0.15,0.0,0.0,50.05,0.02,0.0,0.0,338.76,0.99,0.0,0.0,228.34,227.21,229.5
_result,4,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 09:45:00+00:00,power_meter,2,4,ahu4,WT0301_E_41,0.0,0.0,0.0,50.05,0.0,0.0,0.0,298.99,0.0,0.0,0.0,229.25,228.1,230.49
_result,4,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:00:00+00:00,power_meter,2,4,ahu4,WT0301_E_41,0.0,0.0,0.0,50.04333333333333,0.0,0.0,0.0,298.99,0.0,0.0,0.0,228.7266666666667,227.73333333333332,230.0
_result,4,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:15:00+00:00,power_meter,2,4,ahu4,WT0301_E_41,0.0,0.0,0.0,50.045,0.0,0.0,0.0,298.99,0.0,0.0,0.0,228.32999999999998,227.36,229.585
_result,5,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 09:45:00+00:00,power_meter,2,5,ahu5,WT0301_E_42,0.16,0.0,0.0,50.05,0.02,0.0,0.0,209.24,1.0,0.0,0.0,229.16,228.08,230.29
_result,5,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:00:00+00:00,power_meter,2,5,ahu5,WT0301_E_42,0.16333333333333333,0.0,0.0,50.04333333333333,0.023333333333333334,0.0,0.0,209.24,1.0,0.0,0.0,228.62666666666667,227.64333333333332,229.84
_result,5,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:15:00+00:00,power_meter,2,5,ahu5,WT0301_E_42,0.16,0.0,0.0,50.055,0.02,0.0,0.0,209.24,1.0,0.0,0.0,228.23000000000002,227.255,229.425
_result,6,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 09:45:00+00:00,power_meter,2,6,ahu6,WT0301_E_43,0.0,0.0,0.0,50.03,0.0,0.0,0.0,192.19,0.0,0.0,0.0,229.15,227.96,230.32
_result,6,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:00:00+00:00,power_meter,2,6,ahu6,WT0301_E_43,0.0,0.0,0.0,50.04,0.0,0.0,0.0,192.18999999999997,0.0,0.0,0.0,228.60333333333332,227.54666666666665,229.87
_result,6,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:15:00+00:00,power_meter,2,6,ahu6,WT0301_E_43,0.0,0.0,0.0,50.05,0.0,0.0,0.0,192.19,0.0,0.0,0.0,228.325,227.20499999999998,229.59500000000003
_result,7,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 09:45:00+00:00,power_meter,2,7,ahu7,WT0301_E_44,0.0,0.0,0.0,50.03,0.0,0.0,0.0,111.93,0.0,0.0,0.0,229.11,227.95,230.34
_result,7,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:00:00+00:00,power_meter,2,7,ahu7,WT0301_E_44,0.0,0.0,0.0,50.029999999999994,0.0,0.0,0.0,111.93,0.0,0.0,0.0,228.51999999999998,227.51666666666665,229.86999999999998
_result,7,2024-05-02 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-04 10:15:00+00:00,power_meter,2,7,ahu7,WT0301_E_44,0.0,0.0,0.0,50.05,0.0,0.0,0.0,111.93,0.0,0.0,0.0,228.185,227.165,229.54500000000002
