result,table,_start,_stop,_time,_measurement,building,device_id,floor,measuring,current_a,current_b,current_c,current_t,hz_t,kw_a,kw_b,kw_c,kw_demand,kw_t,kwh_t,pf_a,pf_b,pf_c,pf_t,voltage_a,voltage_b,voltage_c,voltage_t
_result,0,2024-05-14 07:21:10.178406+00:00,2024-05-14 09:21:10.178406+00:00,2024-05-14 07:30:00+00:00,power_meter,2,WL0301_E_38,1,ahu1,4.965,4.515,5.0649999999999995,14.55,49.965,0.61,0.61,0.67,1.89,1.89,389.66,0.55,0.605,0.585,0.58,225.92000000000002,225.12,227.425,226.155
_result,0,2024-05-14 07:21:10.178406+00:00,2024-05-14 09:21:10.178406+00:00,2024-05-14 07:45:00+00:00,power_meter,2,WL0301_E_38,1,ahu1,4.9775,4.5225,5.0625,14.5625,49.9875,0.615,0.6124999999999999,0.6725,1.89,1.9,390.0375,0.55,0.605,0.5874999999999999,0.58,226.16,225.29500000000002,227.5875,226.3475
_result,0,2024-05-14 07:21:10.178406+00:00,2024-05-14 09:21:10.178406+00:00,2024-05-14 08:00:00+00:00,power_meter,2,WL0301_E_38,1,ahu1,4.97,4.513333333333333,5.05,14.533333333333331,50.0,0.6133333333333333,0.61,0.6666666666666666,1.89,1.89,390.4766666666667,0.55,0.6,0.5866666666666666,0.58,226.15666666666667,225.24666666666667,227.51,226.3133333333333
_result,0,2024-05-14 07:21:10.178406+00:00,2024-05-14 09:21:10.178406+00:00,2024-05-14 08:15:00+00:00,power_meter,2,WL0301_E_38,1,ahu1,5.085,4.512499999999999,5.092499999999999,14.692499999999999,50.010000000000005,0.62,0.595,0.6825000000000001,1.89,1.8974999999999997,390.91999999999996,0.54,0.585,0.585,0.57,227.8575,226.5675,229.02999999999997,227.82999999999998
_result,0,2024-05-14 07:21:10.178406+00:00,2024-05-14 09:21:10.178406+00:00,2024-05-14 08:30:00+00:00,power_meter,2,WL0301_E_38,1,ahu1,2.6525,2.2625,2.55,7.4624999999999995,49.975,0.3275,0.2975,0.3375,1.825,0.965,391.3525,0.7675000000000001,0.29,0.2925,0.7825,228.62749999999997,227.2075,229.75250000000003,228.5275
_result,0,2024-05-14 07:21:10.178406+00:00,2024-05-14 09:21:10.178406+00:00,2024-05-14 08:45:00+00:00,power_meter,2,WL0301_E_38,1,ahu1,0.2025,0.0,0.0,0.2025,50.002500000000005,0.04,0.0,0.0,1.3900000000000001,0.04,391.415,0.9975,0.0,0.0,1.0,228.8,227.4,230.08249999999998,228.74749999999997
_result,0,2024-05-14 07:21:10.178406+00:00,2024-05-14 09:21:10.178406+00:00,2024-05-14 09:00:00+00:00,power_meter,2,WL0301_E_38,1,ahu1,0.2066666666666667,0.0,0.0,0.2066666666666667,50.01,0.04,0.0,0.0,0.9566666666666667,0.04,391.42333333333335,0.9899999999999999,0.0,0.0,1.0,229.18666666666664,227.67666666666665,230.43999999999997,229.11666666666665
_result,0,2024-05-14 07:21:10.178406+00:00,2024-05-14 09:21:10.178406+00:00,2024-05-14 09:15:00+00:00,power_meter,2,WL0301_E_38,1,ahu1,0.2,0.0,0.0,0.2,50.0075,0.04,0.0,0.0,0.5249999999999999,0.04,391.4325,0.9975,0.0,0.0,1.0,228.95999999999998,227.57999999999998,230.16000000000003,228.9025
_result,1,2024-05-14 07:21:10.178406+00:00,2024-05-14 09:21:10.178406+00:00,2024-05-14 07:30:00+00:00,power_meter,2,WL0301_E_39,2,ahu2,4.78,4.66,4.97,14.405000000000001,49.975,0.7,0.77,-0.78,0.69,0.685,274.65999999999997,0.65,0.74,-0.7,0.7,225.845,225.125,227.425,226.12
_result,1,2024-05-14 07:21:10.178406+00:00,2024-05-14 09:21:10.178406+00:00,2024-05-14 07:45:00+00:00,power_meter,2,WL0301_E_39,2,ahu2,4.79,4.6450000000000005,4.96,14.3925,50.002500000000005,0.7075,0.77,-0.7875000000000001,0.69,0.6900000000000001,274.9525,0.6575000000000001,0.74,-0.7,0.695,226.1225,225.4,227.6325,226.39
